MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
CB6.4,110176,BAY313,TWQM,MAIN,VADEQ,ODU,CB6.4,2/16/2000,9:41:00,10,5,8,1,S ,D,S1,CHLA,,3.738,UG/L,L01 ,AMRL,,,,,37.23653,-76.20799,T3
CB6.4,110443,BAY314,TWQM,MAIN,VADEQ,ODU,CB6.4,3/14/2000,11:13:00,9,,,1,S ,D,S1,CHLA,,4.1652,UG/L,L01 ,AMRL,,,,,37.23653,-76.20799,T3
CB6.4,110952,BAY317,TWQM,MAIN,VADEQ,ODU,CB6.4,4/24/2000,13:56:00,11,7,9,1,S ,D,S1,CHLA,,12.282,UG/L,L01 ,AMRL,,,,Samples filtered day after collection.,37.23653,-76.20799,T3
CB6.4,111347,BAY319,TWQM,MAIN,VADEQ,ODU,CB6.4,5/26/2000,12:12:00,10,4,6,1,S ,D,S1,CHLA,,11.214,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,96802,BAY320,TWQM,MAIN,VADEQ,ODU,CB6.4,6/12/2000,13:06:00,10,5,6,1,S ,D,S1,CHLA,,7.209,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,97208,BAY322,TWQM,MAIN,VADEQ,ODU,CB6.4,7/14/2000,9:27:00,10,7,8,1,S ,D,S1,CHLA,,10.146,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,78163,BAY332,TWQM,MAIN,VADEQ,ODU,CB6.4,1/8/2001,9:48:00,11,3,3,1,S ,D,S1,CHLA,,2.2428,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,97389,BAY323,TWQM,MAIN,VADEQ,ODU,CB6.4,7/28/2000,9:49:00,10,6,7,1,S ,D,S1,CHLA,,12.816,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,97445,BAY324,TWQM,MAIN,VADEQ,ODU,CB6.4,8/7/2000,9:43:00,9,,,1,S ,D,S1,CHLA,,10.0392,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,97756,BAY325,TWQM,MAIN,VADEQ,ODU,CB6.4,8/25/2000,11:54:00,9,4,4,1,S ,D,S1,CHLA,,8.1168,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,97970,BAY326,TWQM,MAIN,VADEQ,ODU,CB6.4,9/14/2000,8:42:00,10,5,5,1,S ,D,S1,CHLA,,6.6216,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,98209,BAY328,TWQM,MAIN,VADEQ,ODU,CB6.4,10/10/2000,12:45:00,10,4,8,1,S ,D,S1,CHLA,,4.0584,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,98552,BAY330,TWQM,MAIN,VADEQ,ODU,CB6.4,11/13/2000,14:21:00,10,,,1,S ,D,S1,CHLA,,2.9904,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,98895,BAY331,TWQM,MAIN,VADEQ,ODU,CB6.4,12/14/2000,11:12:00,11,,,1,S ,D,S1,CHLA,,4.5924,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,59654,BAY352,TWQM,MAIN,VADEQ,ODU,CB6.4,1/16/2002,14:17:00,11,,,1,S ,D,S1,CHLA,,4.272,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,59926,BAY353,TWQM,MAIN,VADEQ,ODU,CB6.4,2/15/2002,12:52:00,11,,,1,S ,D,S1,CHLA,,1.8156,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,78611,BAY333,TWQM,MAIN,VADEQ,ODU,CB6.4,2/15/2001,11:48:00,10,4,6,1,S ,D,S1,CHLA,,2.67,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,78920,BAY335,TWQM,MAIN,VADEQ,ODU,CB6.4,3/23/2001,11:28:00,10,7,7,1,S ,D,S1,CHLA,,2.8836,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,79048,BAY336,TWQM,MAIN,VADEQ,ODU,CB6.4,4/2/2001,10:19:00,10,5,6,1,S ,D,S1,CHLA,,2.2428,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,79592,BAY338,TWQM,MAIN,VADEQ,ODU,CB6.4,5/10/2001,9:56:00,9,2,3,1,S ,D,S1,CHLA,,8.01,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,80030,BAY340,TWQM,MAIN,VADEQ,ODU,CB6.4,6/13/2001,13:03:00,9,3,6,1,S ,D,S1,CHLA,,6.408,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,90709,BAY342,TWQM,MAIN,VADEQ,ODU,CB6.4,7/12/2001,9:37:00,9,7,7,1,S ,D,S1,CHLA,,8.277,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,90845,BAY343,TWQM,MAIN,VADEQ,ODU,CB6.4,7/23/2001,13:28:00,8,6,6,1,S ,D,S1,CHLA,,5.5536,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,91064,BAY344,TWQM,MAIN,VADEQ,ODU,CB6.4,8/13/2001,10:10:00,9,5,5,1,S ,D,S1,CHLA,,6.5148,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,91366,BAY345,TWQM,MAIN,VADEQ,ODU,CB6.4,8/29/2001,10:27:00,9,5,7,1,S ,D,S1,CHLA,,5.7672,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,91456,BAY346,TWQM,MAIN,VADEQ,ODU,CB6.4,9/10/2001,10:12:00,9,4,4,1,S ,D,S1,CHLA,,7.6896,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,91815,BAY348,TWQM,MAIN,VADEQ,ODU,CB6.4,10/15/2001,10:14:00,10,,,1,S ,D,S1,CHLA,,3.4176,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,92242,BAY350,TWQM,MAIN,VADEQ,ODU,CB6.4,11/14/2001,9:58:00,10,,,1,S ,D,S1,CHLA,,1.9224,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,60199,BAY354,TWQM,MAIN,VADEQ,ODU,CB6.4,3/14/2002,15:00:00,10,6,8,1,S ,D,S1,CHLA,,1.2816,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,60785,BAY357,TWQM,MAIN,VADEQ,ODU,CB6.4,5/1/2002,14:08:00,10,,,1,S ,D,S1,CHLA,,4.6725,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,43603,BAY398,TWQM,MAIN,VADEQ,ODU,CB6.4,5/12/2004,8:41:00,10,3,3,1,S ,D,S1,CHLA,,5.18743,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,44122,BAY400,TWQM,MAIN,VADEQ,ODU,CB6.4,6/9/2004,8:56:00,10,4,4,1,S ,D,S1,CHLA,,13.528,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,37629,BAY404,TWQM,MAIN,VADEQ,ODU,CB6.4,8/12/2004,9:43:00,11,5,6,1,S ,D,S1,CHLA,,8.544,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,37921,BAY405,TWQM,MAIN,VADEQ,ODU,CB6.4,8/25/2004,10:02:00,9,,,1,S ,D,S1,CHLA,,12.994,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,61140,BAY359,TWQM,MAIN,VADEQ,ODU,CB6.4,5/23/2002,9:17:00,11,,,1,S ,D,S1,CHLA,,5.4735,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,61439,BAY361,TWQM,MAIN,VADEQ,ODU,CB6.4,6/17/2002,16:16:00,9,4,6,1,S ,D,S1,CHLA,,6.8085,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,65833,BAY362,TWQM,MAIN,VADEQ,ODU,CB6.4,7/15/2002,14:33:00,10,8,8,1,S ,D,S1,CHLA,,3.8715,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,65993,BAY363,TWQM,MAIN,VADEQ,ODU,CB6.4,7/26/2002,8:35:00,10,,,1,S ,D,S1,CHLA,,10.146,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,66282,BAY364,TWQM,MAIN,VADEQ,ODU,CB6.4,8/14/2002,15:24:00,10,,,1,S ,D,S1,CHLA,,5.34,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,54155,BAY382,TWQM,MAIN,VADEQ,ODU,CB6.4,7/9/2003,9:23:00,10,2,8,1,S ,D,S1,CHLA,,17.7288,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,54585,BAY384,TWQM,MAIN,VADEQ,ODU,CB6.4,8/4/2003,11:58:00,9,3,4,1,S ,D,S1,CHLA,,20.826,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,54966,BAY385,TWQM,MAIN,VADEQ,ODU,CB6.4,8/20/2003,9:11:00,9,4,7,1,S ,D,S1,CHLA,,11.3475,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,55737,BAY387,TWQM,MAIN,VADEQ,ODU,CB6.4,9/25/2003,13:13:00,10,,,1,S ,D,S1,CHLA,,16.376,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,48629,BAY389,TWQM,MAIN,VADEQ,ODU,CB6.4,10/24/2003,14:13:00,10,8,8,1,S ,D,S1,CHLA,,11.748,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,48871,BAY390,TWQM,MAIN,VADEQ,ODU,CB6.4,11/18/2003,8:13:00,10,7,7,1,S ,D,S1,CHLA,,6.5415,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,49257,BAY391,TWQM,MAIN,VADEQ,ODU,CB6.4,12/17/2003,10:58:00,10,7,8,1,S ,D,S1,CHLA,,32.307,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,49446,BAY392,TWQM,MAIN,VADEQ,ODU,CB6.4,1/12/2004,12:25:00,11,6,9,1,S ,D,S1,CHLA,,20.13943,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,50174,BAY394,TWQM,MAIN,VADEQ,ODU,CB6.4,3/24/2004,9:02:00,9,,,1,S ,D,S1,CHLA,,5.4735,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,50475,BAY396,TWQM,MAIN,VADEQ,ODU,CB6.4,4/14/2004,9:00:00,10,7,8,1,S ,D,S1,CHLA,,10.8135,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,44395,BAY401,TWQM,MAIN,VADEQ,ODU,CB6.4,6/23/2004,10:03:00,9,5,5,1,S ,D,S1,CHLA,,14.3112,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,44640,BAY402,TWQM,MAIN,VADEQ,ODU,CB6.4,7/8/2004,9:43:00,9,4,4,1,S ,D,S1,CHLA,,10.8936,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,44969,BAY403,TWQM,MAIN,VADEQ,ODU,CB6.4,7/21/2004,9:06:00,9,6,7,1,S ,D,S1,CHLA,,8.722,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,66443,BAY365,TWQM,MAIN,VADEQ,ODU,CB6.4,8/27/2002,13:54:00,10,,,1,S ,D,S1,CHLA,,6.8085,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,66707,BAY367,TWQM,MAIN,VADEQ,ODU,CB6.4,9/19/2002,15:09:00,10,7,8,1,S ,D,S1,CHLA,,5.9808,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,67062,BAY369,TWQM,MAIN,VADEQ,ODU,CB6.4,10/23/2002,13:28:00,11,,,1,S ,D,S1,CHLA,,4.806,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,67334,BAY370,TWQM,MAIN,VADEQ,ODU,CB6.4,11/19/2002,8:30:00,9,5,5,1,S ,D,S1,CHLA,,5.7405,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,71988,BAY372,TWQM,MAIN,VADEQ,ODU,CB6.4,1/16/2003,12:55:00,11,7,8,1,S ,D,S1,CHLA,,3.6312,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,72198,BAY373,TWQM,MAIN,VADEQ,ODU,CB6.4,2/14/2003,8:56:00,10,8,8,1,S ,D,S1,CHLA,,6.5148,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,72443,BAY374,TWQM,MAIN,VADEQ,ODU,CB6.4,3/13/2003,8:54:00,11,8,8,1,S ,D,S1,CHLA,,8.7576,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,72923,BAY376,TWQM,MAIN,VADEQ,ODU,CB6.4,4/22/2003,9:19:00,11,4,4,1,S ,D,S1,CHLA,,43.3875,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,73153,BAY378,TWQM,MAIN,VADEQ,ODU,CB6.4,5/7/2003,8:29:00,10,3,4,1,S ,D,S1,CHLA,,3.8715,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,73985,BAY381,TWQM,MAIN,VADEQ,ODU,CB6.4,6/19/2003,9:07:00,9,4,7,1,S ,D,S1,CHLA,,19.68172,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,2652,BAY439,TWQM,MAIN,VADEQ,ODU,CB6.4,5/24/2006,16:43:00,9,7,7,1,S ,D,S1,CHLA,,6.764,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,2903,BAY440,TWQM,MAIN,VADEQ,ODU,CB6.4,6/7/2006,8:37:00,11,8,8,1,S ,D,S1,CHLA,,6.586,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,3263,BAY441,TWQM,MAIN,VADEQ,ODU,CB6.4,6/20/2006,16:22:00,9,2,2,1,S ,D,S1,CHLA,,7.654,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,3866,BAY442,TWQM,MAIN,VADEQ,ODU,CB6.4,7/12/2006,7:41:00,10,3,3,1,S ,D,S1,CHLA,,9.79,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,4261,BAY443,TWQM,MAIN,VADEQ,ODU,CB6.4,7/26/2006,7:55:00,9,5,5,1,S ,D,S1,CHLA,,6.586,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,6601,BAY456,TWQM,MAIN,VADEQ,ODU,CB6.4,4/19/2007,9:36:00,10,4,4,1,S ,D,S1,CHLA,,12.638,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,7221,BAY458,TWQM,MAIN,VADEQ,ODU,CB6.4,5/12/2007,10:31:00,10,5,6,1,S ,D,S1,CHLA,,6.408,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,7719,BAY460,TWQM,MAIN,VADEQ,ODU,CB6.4,6/7/2007,15:14:00,9,5,7,1,S ,D,S1,CHLA,,5.874,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,7961,BAY461,TWQM,MAIN,VADEQ,ODU,CB6.4,6/20/2007,9:36:00,10,2,2,1,S ,D,S1,CHLA,,9.078,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,27845,BAY418,TWQM,MAIN,VADEQ,ODU,CB6.4,5/11/2005,8:58:00,9,3,4,1,S ,D,S1,CHLA,,16.93543,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,28554,BAY420,TWQM,MAIN,VADEQ,ODU,CB6.4,6/15/2005,8:39:00,10,8,8,1,S ,D,S1,CHLA,,6.25543,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,28841,BAY421,TWQM,MAIN,VADEQ,ODU,CB6.4,6/29/2005,8:31:00,9,7,7,1,S ,D,S1,CHLA,,9.73067,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,23421,BAY425,TWQM,MAIN,VADEQ,ODU,CB6.4,8/24/2005,8:07:00,9,4,4,1,S ,D,S1,CHLA,,5.607,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,23916,BAY426,TWQM,MAIN,VADEQ,ODU,CB6.4,9/20/2005,12:13:00,11,4,4,1,S ,D,S1,CHLA,,7.6095,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,25099,BAY430,TWQM,MAIN,VADEQ,ODU,CB6.4,11/28/2005,13:12:00,9,,,1,S ,D,S1,CHLA,,9.45943,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,14923,BAY431,TWQM,MAIN,VADEQ,ODU,CB6.4,12/16/2005,13:03:00,10,2,2,1,S ,D,S1,CHLA,,5.874,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,15289,BAY432,TWQM,MAIN,VADEQ,ODU,CB6.4,1/19/2006,12:42:00,9,5,7,1,S ,D,S1,CHLA,,9.8256,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,15870,BAY434,TWQM,MAIN,VADEQ,ODU,CB6.4,3/8/2006,14:30:00,9,,,1,S ,D,S1,CHLA,,11.214,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,16282,BAY436,TWQM,MAIN,VADEQ,ODU,CB6.4,4/6/2006,16:23:00,9,6,6,1,S ,D,S1,CHLA,,1.958,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,11092,BAY444,TWQM,MAIN,VADEQ,ODU,CB6.4,8/17/2006,8:04:00,10,6,6,1,S ,D,S1,CHLA,,7.12,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,11392,BAY445,TWQM,MAIN,VADEQ,ODU,CB6.4,8/30/2006,7:41:00,10,8,8,1,S ,D,S1,CHLA,,5.518,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,11861,BAY446,TWQM,MAIN,VADEQ,ODU,CB6.4,9/19/2006,15:57:00,10,4,6,1,S ,D,S1,CHLA,,8.188,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,19638,BAY450,TWQM,MAIN,VADEQ,ODU,CB6.4,11/17/2006,11:36:00,10,7,7,1,S ,D,S1,CHLA,,7.476,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,19921,BAY451,TWQM,MAIN,VADEQ,ODU,CB6.4,12/11/2006,11:09:00,10,,,1,S ,D,S1,CHLA,,4.984,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,20204,BAY452,TWQM,MAIN,VADEQ,ODU,CB6.4,1/11/2007,8:27:00,10,,,1,S ,D,S1,CHLA,,8.277,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,20469,BAY453,TWQM,MAIN,VADEQ,ODU,CB6.4,2/12/2007,12:24:00,9,3,6,1,S ,D,S1,CHLA,,6.408,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,20801,BAY454,TWQM,MAIN,VADEQ,ODU,CB6.4,3/14/2007,8:45:00,11,7,7,1,S ,D,S1,CHLA,,8.4105,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,81840,BAY495,TWQM,MAIN,VADEQ,ODU,CB6.4,12/18/2008,15:11:00,10,,,1,S ,D,S1,CHLA,,6.1944,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,82014,BAY496,TWQM,MAIN,VADEQ,ODU,CB6.4,1/13/2009,12:47:00,10,,,1,S ,D,S1,CHLA,,5.49257,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
CB6.4,38142,BAY406,TWQM,MAIN,VADEQ,ODU,CB6.4,9/10/2004,11:55:00,8,,,1,S ,D,S1,CHLA,,16.4205,UG/L,L01 ,ODU,,,,,37.23653,-76.20799,T3
