Year,Chl,NAO,Temperature,RSWT,Light,Secchi,Stratification,GSI,PO4,SiO4,NH4,NO32,precip,salinity,sumStart,sumMax,sumEnd,sumDur
1972,18.61272368,0.793333333,19.44375,0.401099556,459.4345,2.445454545,NA,-1.215591667,1.669230769,11.48833333,0.69375,1.43,0.15487395,28.47777778,22,27,36,14
1973,24.58443055,0.3,20.08125,-0.037196642,441.056,1.96,1.058226818,-1.2998,1.595882353,9.205882353,0.829411765,0.521386667,0.120420168,28.6697619,24,26,38,14
1974,15.94387755,-0.513333333,20.221875,3.103604877,476.5985,1.977272727,0.530829921,-0.776825,1.124375,7.565625,0.8675,0.5811,0.105546218,31.895,24,33,38,14
1975,15.61882818,0.15,20.14,-0.370126646,452.9525,1.863636364,0.485507036,0.06325,1.316875,8.163125,0.46,0.009706667,0.104537815,30.46,24,34,38,14
1976,13.76316656,0.8,20.50625,0.975869706,492.1315,1.958333333,0.717600826,-0.718641667,1.114375,15.6475,1.39125,0.4407,0.150420168,31.44444444,25,33,38,13
1977,19.61451247,-0.433333333,20.9875,-0.910633691,491.4175,2.375,0.069583051,-0.301558333,2.181111111,9.253333333,2.437777778,0.856266667,0.086218487,31.08,27,31,38,11
1978,11.52622339,0.293333333,19.91176471,-2.07752867,441.735,2.173076923,0.422742937,-1.057491667,1.252352941,7.834117647,1.212352941,0.494917647,0.108235294,31.01578947,23,30,37,14
1979,26.59128167,1.13,20.10588235,1.268660881,506.9015,2.192307692,0.604174949,-1.5087,0.992941176,11.12882353,1.802941176,0.5187,0.149579832,29.26363636,22,25,37,15
1980,11.99619633,-1.01,20.51470588,1.168797042,489.2895,1.659090909,0.594641709,-0.302225,1.740625,12.84375,1.104375,0.5304,0.072268908,31.40909091,31,35,38,7
1981,9.109450232,-0.003333333,21.00625,-0.85733463,478.45,2.076923077,0.438901205,-0.704875,1.633529412,10.58470588,1.475294118,0.681505882,0.094453782,30.82727273,26,31,38,12
1982,13.89620364,-0.073333333,19.7625,-0.226284972,443.1105,1.942307692,0.98722244,-1.112075,0.96375,12.4875,1.54375,0.8385,0.18487395,29.41818182,23,28,38,15
1983,11.58794163,1.263333333,20.91764706,-0.792638517,477.7115,2.136363636,0.874018575,-0.1581,1.35,16.11,1.11,0.3185,0.086470588,29.76666667,22,36,38,16
1984,12.80254037,0.22,20.32941176,2.586272799,440.895,2.134615385,1.930224074,0.33235,1.361875,22.54764706,1.065294118,3.4229,0.150084034,28.81428571,26,34,38,12
1985,15.18930153,-0.02,20.34117647,3.560218601,NA,1.096153846,0.399530923,1.02125,1.41,23.22411765,1.239411765,0.332188235,0.150252101,30.17142857,26,30,38,12
1986,11.71353334,0.083333333,19.60882353,1.747652545,449.0955,1.85,0.526917707,-0.404075,1.182222222,20.74,1.459,0.45864,0.114453782,29.82,23,30,38,15
1987,16.42253676,-0.71,20.08235294,-0.691993613,465.10415,2.59375,0.404306816,-0.515816667,0.9275,8.81,0.8175,0.4563,0.107731092,29.95,27,31,35,8
1988,8.677583937,0.19,20.23529412,-1.088085436,470.86375,2.596153846,0.429146336,-0.063133333,NA,NA,NA,NA,0.090588235,30.13809524,25,32,36,11
1989,9.518646168,0.236666667,20.16470588,-2.4739163,462.6825,2.807692308,0.799242683,0.160158333,1.2275,12.339375,0.941875,0.1664,0.181764706,28.46666667,26,31,38,12
1990,11.40827299,0.493333333,19.8,0.809927505,NA,2.821428571,0.461174956,0.592241667,1.70375,3.4675,5.554,0.441428571,0.099327731,29.3,27,37,38,11
1991,10.03584229,-0.026666667,20.9,1.876132504,NA,2.5,0.763706916,0.917616667,0.92875,16.8175,2.1125,0,0.111512605,29.46,25,34,38,13
1992,3.889010801,0.403333333,19.96153846,1.231091299,487.3306667,3.178571429,0.669009314,0.966525,0.75,20.675,NA,0.215,0.143865546,29.3,26,28,35,9
1993,8.150464487,-1.216666667,20.48235294,2.434914949,513.3090667,3.033333333,0.489342449,0.77705,1.317272727,15.867,4.335,4.589090909,0.05907563,29.99411765,27,28,38,11
1994,6.853063806,1.07,20.55882353,3.61683072,500.55565,2.557692308,0.929712396,1.237791667,1.726470588,18.99764706,1.986,2.438823529,0.098151261,29.94090909,24,26,31,7
1995,NA,0.2,20.65,3.685452883,514.5847,2.333333333,0.342077757,1.744841667,1.384117647,17.03470588,1.991875,0.1625,0.084957983,30.41363636,27,32,38,11
1996,NA,0.75,21.23823529,-0.167365047,455.91385,2.615384615,1.127395707,-0.130416667,1.267647059,14.98352941,5.034117647,1.217058824,0.124789916,28.92727273,28,33,38,10
1997,NA,-0.1,20.16666667,0.972034989,NA,NA,NA,-0.361591667,NA,NA,NA,NA,0.090504202,30.6125,28,33,38,10
1998,NA,-1.073333333,20.36470588,-3.673797313,NA,NA,NA,-0.678675,NA,NA,NA,NA,0.129831933,NA,28,33,38,10
1999,9.498666667,0.203333333,21.32857143,3.440631967,NA,NA,NA,-0.128758333,NA,NA,NA,NA,0.106638655,NA,28,35,38,10
2000,12.31588235,-0.45,20.04411765,3.052513264,NA,NA,1.010425876,1.128583333,NA,NA,NA,NA,0.118235294,30.25090909,24,27,28,4
2001,12.34266667,-0.173333333,20.61470588,-0.128526581,NA,NA,1.265576155,1.26285,NA,NA,NA,NA,0.144705882,30.12857143,27,35,38,11
2002,6.904705882,0.46,20.72666667,0.950023427,NA,NA,0.878928315,0.924391667,NA,NA,NA,NA,0.07789916,30.84090909,22,27,36,14
2003,6.705294118,-0.003333333,20.18823529,0.346446908,NA,NA,2.073310027,-0.067866667,0.695823529,25.05058824,1.484235294,0.724823529,0.164789916,28.73285714,26,37,38,12
2004,6.082,-0.08,20.07058824,-0.22306774,NA,2.464285714,0.730352201,-0.706875,0.673066667,5.03,0.734066667,0.1144,0.134285714,30.22619048,35,37,38,3
2005,8.481176471,-0.063333333,20.95882353,0.262977536,NA,2.469230769,1.031580051,-0.1335,0.549764706,7.803529412,0.849352941,0.758411765,0.097394958,28.83815789,22,36,38,16
2006,5.032666667,0.003333333,20.775,2.086490937,NA,2.129,2.04290565,0.585308333,0.590142857,9.000833333,0.628142857,0.292714286,0.147647059,28.94809524,28,30,32,4
2007,7.979411765,-0.676666667,20.390625,-2.965308648,NA,1.969230769,0.457299298,0.389483333,0.504588235,16.47058824,0.302058824,0.271117647,0.090672269,31.59375,22,23,24,2
2008,6.655625,-1.273333333,21.265625,-2.235720587,380.4385223,3,1.2521149,-0.173025,0.783333333,10.939,0.312666667,0.126,0.129579832,30.04666667,33,35,36,3
2009,5.994666667,-1.183333333,19.95769231,0.288761255,NA,2.186363636,1.379580485,0.055525,0.351888889,8.681666667,0.220777778,0.085555556,0.158907563,28.97333333,25,33,38,13
2010,5.06875,-0.82,21.49,3.454752186,NA,2.057692308,0.930243759,-0.1823,0.655625,NA,1.66625,0.603125,0.103697479,28.06181818,25,32,37,12
2011,4.295625,-1.38,20.91666667,1.682011191,433.5166734,2.229166667,0.904692325,-0.7941,0.485625,NA,2.504375,0.871875,0.167983193,27.14555556,27,34,38,11
2012,NA,-1.61,22.02533333,5.818882388,NA,NA,NA,0.84245,0.915714286,NA,1.435714286,2.88,0.126386555,NA,25,28,36,11
2013,7.979411765,0.72,20.72933333,3.114215061,NA,2.346153846,1.585838133,0.154783333,0.399166667,27.265,0.596666667,0.143333333,0.179495798,29.94952381,24,27,38,14
2014,5.82,-0.823333333,20.95714286,3.678901479,NA,2.384615385,1.00237406,0.733458333,0.73,22.65666667,0.995555556,0.334444444,0.078655462,31.430625,29,31,38,9
2015,7.479411765,-1.336666667,21.51941176,3.120255795,452.5939023,2.555555556,0.572978824,1.316108333,0.786470588,21.42588235,1.135882353,0.332941176,0.124033613,31.22710526,26,36,38,12
2016,8.69,-1.28,21.53647059,4.737956686,467.4450911,2.346153846,0.592995385,0.464833333,0.981176471,22.67058824,0.780588235,0.418823529,0.085294118,31.42772727,28,34,38,10
2017,7.937058824,0.07,20.12235294,4.889767332,NA,2.384615385,1.113594405,-0.121333333,0.690588235,19.484257,1.858823529,0.561764706,0.097478992,30.56595238,29,33,35,6
2018,9.215714286,1.483333333,21.56058824,5.339231183,453.0713183,2.769230769,0.662041233,0.455825,0.92875,24.220625,0.918125,0.780875,0.109915966,30.32526316,27,36,38,11
2019,5.173529412,-1.23,21.07142857,NA,440.7464076,2.708333333,1.313894937,NA,0.823235294,13.25188235,0.764411765,0.620882353,0.100084034,30.93904762,25,37,38,13
